School.Institute.Center,Department.Group,Category,Pattern
Price School of Public Policy,Safe Communities Institute,Academic,Safe Communities Institute
Price School of Public Policy,Schwarzenegger Institute for State and Global Policy,Academic,Institute for State and Global Policy
Price School of Public Policy,Sol Price Center for Social Innovation,Academic,Center for Social Innovation
Price School of Public Policy,Urban Planning and Spatial Analysis,['Academic' 'Academic and Administrative'],Urban Planning and Development|Urban Planning and Spatial Analysis
Price School of Public Policy,Wilbur H. Smith III Department of Real Estate Development,Academic,Department of Real Estate Development
Roski School of Art and Design,Roski 4D,Academic,Roski 4D
Rossier School of Education,"Center for Affective Neuroscience, Development, Learning and Education",Academic,Center for Affective Neuroscience Development Learning and Education
Rossier School of Education,"Center for Education, Identity and Social Justice",Academic,Center for Education Identity and Social Justice
Rossier School of Education,"Center for Enrollment Research, Policy and Practice",Academic,Center for Enrollment Research Policy and Practice
Rossier School of Education,"Center on Education Policy, Equity and Governance",Academic,Center on Education Policy Equity and Governance
Rossier School of Education,Pullias Center for Higher Education,Academic,Pullias Center
Rossier School of Education,Race and Equity Center,Academic and Administrative,Race (&|and) Equity Center|Center for Race (&|and) Equity
School of Architecture,Landscape Justice Initiative,Academic,Landscape Justice Initiative
School of Architecture,School of Architecture,Academic,School of Architecture
School of Cinematic Arts,Cinema and Media Studies,Academic,Cinema (&|and) Media Studies
School of Cinematic Arts,Creative Media and Behavioral Health Center,Academic,Creative Media and Behavioral Health Center
School of Cinematic Arts,Entertainment Technology Center,Academic,Entertainment Technology Center
School of Cinematic Arts,Film and Television Production,Academic,Film (&|and) Television Production
School of Cinematic Arts,Interactive Media and Games Division,Academic,Interactive Media (&|and) Games Division
School of Cinematic Arts,John C. Hench Division of Animation + Digital Arts,Academic,Division of Animation \\+ Digital Arts|Animation and Digital Arts
School of Cinematic Arts,John Wells Division of Writing for Screen and Television,Academic,Writing for Screen (&|and) Television
School of Cinematic Arts,Media Arts + Practice Division,Academic,(Media Arts \\+ Practice|Center for Spatial Perception and Concrete Experience|Media Arts and Practice)
Suzanne Dworak-Peck School of Social Work,Adult Mental Health and Wellness,Academic,Adult Mental Health (&|and) Wellness
Suzanne Dworak-Peck School of Social Work,Center for Artificial Intelligence in Society (CAIS),Academic,Center for (AI|Artificial Intelligence) in Society
Suzanne Dworak-Peck School of Social Work,Center for Innovation and Research on Veterans and Military Families,Academic,Center for Innovation and Research on Veterans (&|and) Military Families
Suzanne Dworak-Peck School of Social Work,Children's Data Network,Academic,"Children['’]{0,1}s Data Network"
Suzanne Dworak-Peck School of Social Work,"Children, Youth and Families",Academic,Department of Children Youth and Families
Suzanne Dworak-Peck School of Social Work,Edward R. Roybal Institute on Aging,Academic,Roybal Institute on Aging
Suzanne Dworak-Peck School of Social Work,Enhanced Interdisciplinary Research Training Institute,Academic,Interdisciplinary Research Training Institute on Hispanic Drug Abuse
Suzanne Dworak-Peck School of Social Work,Hamovitch Research Center,Academic,Hamovitch Center for Science in the Human Services|Hamovitch Research Center
Suzanne Dworak-Peck School of Social Work,Institute for Addiction Science (IAS),Academic,Institute for Addiction Science
Suzanne Dworak-Peck School of Social Work,Nursing,Academic,Department of Nursing
Suzanne Dworak-Peck School of Social Work,Social Change and Innovation,Academic,Social Change and Innovation
Thornton School of Music,Music Teaching and Learning,Academic,Music Teaching (and )?Learning
USC Office of Research and Innovation,Office of Research and Innovation,Administrative,Office of Research Advancement
University Relations,Neighborhood Academic Initiative,Administrative,Neighborhood Academic Initiative
